Datetime,site_name,I,linear,poly
2022-03-28 11:00:00+07:00,ISL001,913.0125,761.467626601762,759.6822327505578
2022-03-28 11:30:00+07:00,ISL001,884.1139,785.8402507281837,771.9503915459178
2022-03-28 12:00:00+07:00,ISL001,987.1979,795.1257812535621,770.161851247444
2022-03-28 12:30:00+07:00,ISL001,874.7495,784.41661619997,747.3023777322974
2022-03-28 13:00:00+07:00,ISL001,824.3415,766.5551419666876,725.7109118870816
2022-03-28 13:30:00+07:00,ISL001,765.1907,737.0264710858719,694.2893052746813
2022-03-28 14:00:00+07:00,ISL001,194.4253,703.2376134600631,660.8122767005034
2022-03-28 14:30:00+07:00,ISL001,233.6396,614.5769738852962,576.8804223307058
2022-03-28 15:00:00+07:00,ISL001,588.9459,519.3117406721974,499.6723168922708
2022-03-28 15:30:00+07:00,ISL001,128.1049,463.89855776242257,434.4567760816346
2022-03-28 16:00:00+07:00,ISL001,246.5159,440.6891889955628,394.76876887957343
2022-03-29 15:00:00+07:00,ISL001,697.2974,602.3181536639372,563.8059171814284
2022-03-29 15:30:00+07:00,ISL001,517.2847,533.6003092647913,497.4776398404358
2022-03-29 16:00:00+07:00,ISL001,172.221,463.6141145519804,440.4640350760128
2022-03-31 09:00:00+07:00,ISL001,564.6199,531.4077619653893,551.4191613712243
2022-03-31 11:00:00+07:00,ISL001,904.6356,809.0467230606237,895.4461640939537
2022-03-31 13:00:00+07:00,ISL001,589.5312,826.3878486160655,858.94416309095
2022-03-31 15:00:00+07:00,ISL001,701.5773,651.6509605245027,688.9874997394397
2022-04-04 09:00:00+07:00,ISL001,639.7928,521.0995828915936,510.439449148539
2022-04-04 11:00:00+07:00,ISL001,949.5564,789.227694156931,821.2701279550447
2022-04-04 13:00:00+07:00,ISL001,965.2128,815.0405918842587,818.534434746638
2022-04-04 15:00:00+07:00,ISL001,700.8822,643.189395679031,660.7764516291292
2022-04-20 08:00:00+07:00,ISL001,358.7815,383.38156023101953,374.03015441503055
2022-04-20 08:30:00+07:00,ISL001,489.8128,485.22781080916604,502.1046604430156
2022-04-20 09:00:00+07:00,ISL001,606.3217,578.9798644065806,619.8281694041365
2022-04-20 09:30:00+07:00,ISL001,524.7106,661.5042896130035,722.3072100687809
2022-04-20 10:00:00+07:00,ISL001,799.0276,732.5491144822639,809.37907984731
2022-04-20 10:30:00+07:00,ISL001,870.5425,790.6772743307993,879.3002756316732
2022-04-20 11:00:00+07:00,ISL001,926.1449,832.3695045575614,924.1713627552308
2022-04-20 11:30:00+07:00,ISL001,572.5579,849.1379242919471,916.539000594622
2022-04-20 12:00:00+07:00,ISL001,558.1451,840.1315076716832,855.0630711852806
2022-04-20 12:30:00+07:00,ISL001,786.3708,853.7650739155177,895.4412315640735
2022-04-20 13:00:00+07:00,ISL001,969.3099,844.6251459495463,895.4371133385646
2022-04-20 13:30:00+07:00,ISL001,895.8196,813.0594163303397,853.6455911794296
2022-04-20 14:00:00+07:00,ISL001,664.4481,778.9415433335685,833.108622385085
