,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,65.13589730262757,0.5290315666219245,0.6228955745697021,0.007657124327407793,True,10,6,4,4,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-112.48336966694428,-108.27184730134779,-107.45844196073244,-111.48001482048366,-109.1230985449506,-109.76335445889177,1.9127231053976634,180,-103.63520628045784,-104.84493316171395,-104.83813741605377,-105.42956397394386,-104.830843542071,-104.71573687484809,0.5868592012882419
1,64.42817630767823,0.7168609307293439,0.6258023738861084,0.02467005761887441,True,10,6,4,8,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",-112.5144945661084,-108.20532188104059,-108.39234654249213,-111.15623239258822,-109.11894651894934,-109.87746838023573,1.6832207642510137,188,-103.61299826555359,-104.9548384003113,-105.73409356412691,-104.95819877135757,-104.91491274007305,-104.83500834828449,0.6837518118696541
2,63.56159334182739,0.4209347952046619,0.610960054397583,0.02670935635618165,True,10,6,4,16,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 100}",-112.56022394717846,-108.25447530063036,-108.03428076408633,-111.55307840411247,-108.83534089378149,-109.84747986195782,1.8502879046641754,185,-103.84079159887459,-105.188964022758,-105.7580804936339,-105.7053317931345,-104.74502014334718,-105.04763761034965,0.7078585324866469
3,63.196605348587035,0.5036418013325756,0.6185784339904785,0.017209332495698452,True,10,6,4,32,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 32, 'n_estimators': 100}",-112.23775901135973,-108.28133933912241,-107.37250761358783,-111.44369528378803,-108.98965968093198,-109.664992185758,1.8659565137255494,179,-103.78753262700492,-105.6088676975945,-105.47722576393713,-105.65149153943925,-105.20485132055033,-105.14599378970522,0.6969039804516347
4,63.21958374977112,0.3512985648088471,0.6151750087738037,0.009365194282613579,True,10,6,8,4,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-112.76198991694007,-108.09935461107646,-107.84090863565936,-111.34849198483857,-109.13698123677408,-109.83754527705771,1.9148885632907109,184,-104.09113610863888,-105.16803349145941,-105.62963602727861,-105.4361141161863,-105.05961148048715,-105.07690624481006,0.5319561171014404
5,64.07870721817017,0.5014040757400052,0.6481842994689941,0.03888593477363539,True,10,6,8,8,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 100}",-112.77727751351648,-108.22274499873419,-107.88690679902712,-111.41280706107759,-109.21080325827316,-109.9021079261257,1.892512066062056,190,-104.1643009287283,-105.24992366834546,-105.6658934392471,-105.45688187148603,-105.23842790342822,-105.15508556224702,0.5195382761056888
6,64.60081906318665,0.5547354554400126,0.6823798179626465,0.054902906072647105,True,10,6,8,16,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 100}",-112.34250221208114,-108.4704467110243,-107.5806287514202,-111.40839530568165,-109.0294114941699,-109.76627689487546,1.8073568574714995,181,-103.7536398087959,-105.4773514607196,-105.37797868841557,-105.69488934276892,-105.02739654456663,-105.06625116905334,0.6907708324052445
7,65.72624878883362,0.5687519945317162,0.6892744541168213,0.07425243943637626,True,10,6,8,32,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 32, 'n_estimators': 100}",-112.38955410195939,-108.15146508966556,-107.6859511015157,-111.38831893468384,-109.28662701607867,-109.78038324878064,1.8263102319705842,182,-104.13304070814797,-105.48093253120824,-105.81754573264286,-105.54491988264378,-105.54719327744951,-105.30472642641845,0.5972206836443396
8,64.37790856361389,0.6904147205911307,0.6286444187164306,0.03578620494944879,True,10,6,16,4,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 100}",-112.7438521957265,-108.012703780484,-108.06853521892725,-111.25415232499192,-108.98238502653591,-109.81232570933312,1.8783480736133282,183,-104.73440855834902,-105.65495963889171,-106.27811153578192,-105.77377568366734,-105.3911021239122,-105.56647150812043,0.5060276420822283
9,64.21343097686767,0.3246441122973888,0.6392830848693848,0.04520597074474726,True,10,6,16,8,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 8, 'n_estimators': 100}",-112.50737057683214,-108.0557636456218,-107.41358119181433,-111.4199675198357,-108.81782348681388,-109.64290128418357,1.9765007495123548,177,-104.46730529285026,-105.61970679855789,-105.86521904042246,-105.90209411695704,-105.19290182647693,-105.40944541505291,0.5346328321532742
