Datetime,Generated power_1337 (kW),Ambient temperature_1338 (degree C),Irradiance_1339 (W/m2),PV module temperature_1340 (C)
2022-10-23 00:00:00,0.0000000000,38.0000000000,0.0000000000,24.2750000000
2022-10-23 00:15:00,0.0000000000,39.0000000000,0.0000000000,24.2333300000
2022-10-23 00:30:00,0.0000000000,38.0000000000,0.0000000000,23.9416700000
2022-10-23 00:45:00,0.0000000000,38.0000000000,0.0000000000,23.8750000000
2022-10-23 01:00:00,0.0000000000,38.0000000000,0.0000000000,24.2916700000
2022-10-23 01:15:00,0.0000000000,38.0000000000,0.0000000000,24.4333300000
2022-10-23 01:30:00,0.0000000000,38.0000000000,0.0000000000,24.2833300000
2022-10-23 01:45:00,0.0000000000,38.0000000000,0.0000000000,24.2250000000
2022-10-23 02:00:00,0.0000000000,38.0000000000,0.0000000000,24.0500000000
2022-10-23 02:15:00,0.0000000000,38.0000000000,0.0000000000,23.3833300000
2022-10-23 02:30:00,0.0000000000,38.0000000000,0.0000000000,23.2500000000
2022-10-23 02:45:00,0.0000000000,38.0000000000,0.0000000000,23.2250000000
2022-10-23 03:00:00,0.0000000000,38.0000000000,0.0000000000,22.7750000000
2022-10-23 03:15:00,0.0000000000,38.0000000000,0.0000000000,23.0333300000
2022-10-23 03:30:00,0.0000000000,38.0000000000,0.0000000000,23.3083300000
2022-10-23 03:45:00,0.0000000000,38.0000000000,0.0000000000,23.3083300000
2022-10-23 04:00:00,0.0000000000,38.0000000000,0.0000000000,23.3000000000
2022-10-23 04:15:00,0.0000000000,38.0000000000,0.0000000000,23.2000000000
2022-10-23 04:30:00,0.0000000000,38.0000000000,0.0000000000,23.0000000000
2022-10-23 04:45:00,0.0000000000,38.0000000000,0.0000000000,22.7750000000
2022-10-23 05:00:00,0.0000000000,37.0000000000,0.0000000000,22.7916700000
2022-10-23 05:15:00,0.0000000000,38.0000000000,0.0000000000,22.6083300000
2022-10-23 05:30:00,0.0000000000,37.0000000000,0.0000000000,22.6000000000
2022-10-23 05:45:00,0.0000000000,37.0000000000,0.0000000000,22.6000000000
2022-10-23 06:00:00,4.0000000000,38.0000000000,7.9666810000,22.5916700000
2022-10-23 06:15:00,24.0000000000,37.0000000000,35.6182300000,22.8916700000
2022-10-23 06:30:00,48.0000000000,37.0000000000,77.6435200000,23.4750000000
2022-10-23 06:45:00,76.0000000000,37.0000000000,127.1718000000,24.0333300000
2022-10-23 07:00:00,112.0000000000,37.0000000000,182.7700000000,25.0583300000
2022-10-23 07:15:00,164.0000000000,37.0000000000,246.8828000000,26.7416700000
2022-10-23 07:30:00,212.0000000000,37.0000000000,319.2573000000,29.1750000000
2022-10-23 07:45:00,264.0000000000,38.0000000000,387.5432000000,33.3833400000
2022-10-23 08:00:00,320.0000000000,38.0000000000,461.6459000000,37.1916700000
2022-10-23 08:15:00,364.0000000000,38.0000000000,510.1626000000,40.4166700000
2022-10-23 08:30:00,404.0000000000,38.0000000000,563.7375000000,42.9666700000
2022-10-23 08:45:00,436.0000000000,39.0000000000,608.9663000000,44.8750000000
2022-10-23 09:00:00,448.0000000000,39.0000000000,617.3123000000,45.8083300000
2022-10-23 09:15:00,492.0000000000,39.0000000000,666.9249000000,46.0500000000
2022-10-23 09:30:00,496.0000000000,39.0000000000,672.8683000000,47.5500000000
2022-10-23 09:45:00,568.0000000000,39.0000000000,768.1313000000,50.2416600000
2022-10-23 10:00:00,572.0000000000,39.0000000000,773.7375000000,52.3250000000
2022-10-23 10:15:00,596.0000000000,39.0000000000,813.2337000000,53.8083300000
2022-10-23 10:30:00,632.0000000000,39.0000000000,869.8434000000,55.5416700000
2022-10-23 10:45:00,656.0000000000,40.0000000000,912.7961000000,57.0250000000
2022-10-23 11:00:00,664.0000000000,40.0000000000,928.5608000000,58.8666600000
2022-10-23 11:15:00,676.0000000000,40.0000000000,948.4564000000,59.5833300000
2022-10-23 11:30:00,668.0000000000,40.0000000000,939.8575000000,60.3583300000
2022-10-23 11:45:00,668.0000000000,41.0000000000,934.7571000000,59.1666700000
2022-10-23 12:00:00,676.0000000000,42.0000000000,953.3461000000,60.3083300000
2022-10-23 12:15:00,620.0000000000,42.0000000000,871.0237000000,60.6916700000
2022-10-23 12:30:00,624.0000000000,42.0000000000,867.1879000000,59.5083400000
2022-10-23 12:45:00,576.0000000000,42.0000000000,806.0679000000,59.3333300000
2022-10-23 13:00:00,596.0000000000,43.0000000000,814.1188000000,58.9000000000
2022-10-23 13:15:00,564.0000000000,42.0000000000,772.3464000000,58.3833400000
2022-10-23 13:30:00,548.0000000000,42.0000000000,752.8724000000,58.2416600000
2022-10-23 13:45:00,540.0000000000,42.0000000000,731.3749000000,57.9666700000
2022-10-23 14:00:00,480.0000000000,42.0000000000,654.4902000000,56.0250000000
2022-10-23 14:15:00,476.0000000000,42.0000000000,646.1863000000,55.7000000000
2022-10-23 14:30:00,452.0000000000,42.0000000000,607.1959000000,56.6583300000
2022-10-23 14:45:00,368.0000000000,42.0000000000,484.3236000000,55.1250000000
2022-10-23 15:00:00,400.0000000000,43.0000000000,515.1365000000,52.2500000000
2022-10-23 15:15:00,368.0000000000,42.0000000000,492.3324000000,51.7083300000
2022-10-23 15:30:00,296.0000000000,42.0000000000,392.7700000000,51.0750000000
2022-10-23 15:45:00,204.0000000000,42.0000000000,275.1245000000,48.4083300000
2022-10-23 16:00:00,124.0000000000,42.0000000000,169.6186000000,43.4583300000
2022-10-23 16:15:00,100.0000000000,42.0000000000,133.0309000000,38.4583300000
2022-10-23 16:30:00,80.0000000000,42.0000000000,103.9040000000,36.1583300000
2022-10-23 16:45:00,56.0000000000,42.0000000000,77.5592100000,34.6666700000
2022-10-23 17:00:00,28.0000000000,42.0000000000,41.3930200000,32.9416700000
2022-10-23 17:15:00,12.0000000000,42.0000000000,17.6194300000,31.1416700000
2022-10-23 17:30:00,0.0000000000,42.0000000000,3.4142910000,29.6083300000
2022-10-23 17:45:00,0.0000000000,42.0000000000,0.0000000000,28.8500000000
2022-10-23 18:00:00,0.0000000000,42.0000000000,0.0000000000,28.3333300000
2022-10-23 18:15:00,0.0000000000,41.0000000000,0.0000000000,28.2666700000
2022-10-23 18:30:00,0.0000000000,41.0000000000,0.0000000000,27.8833300000
2022-10-23 18:45:00,0.0000000000,41.0000000000,0.0000000000,26.5833300000
2022-10-23 19:00:00,0.0000000000,41.0000000000,0.0000000000,25.7000000000
2022-10-23 19:15:00,0.0000000000,41.0000000000,0.0000000000,25.3416700000
2022-10-23 19:30:00,0.0000000000,40.0000000000,0.0000000000,25.0250000000
2022-10-23 19:45:00,0.0000000000,40.0000000000,0.0000000000,24.8083300000
2022-10-23 20:00:00,0.0000000000,40.0000000000,0.0000000000,24.2666700000
2022-10-23 20:15:00,0.0000000000,40.0000000000,0.0000000000,23.8916700000
2022-10-23 20:30:00,0.0000000000,40.0000000000,0.0000000000,24.3166700000
2022-10-23 20:45:00,4.0000000000,40.0000000000,0.0000000000,24.3000000000
2022-10-23 21:00:00,0.0000000000,40.0000000000,0.0000000000,23.8083300000
2022-10-23 21:15:00,0.0000000000,40.0000000000,0.0000000000,23.4833300000
2022-10-23 21:30:00,0.0000000000,40.0000000000,0.0000000000,23.2583300000
2022-10-23 21:45:00,0.0000000000,40.0000000000,0.0000000000,22.9166700000
2022-10-23 22:00:00,0.0000000000,39.0000000000,0.0000000000,22.3583300000
