,site_name,location_id,site_capacity,point_p,point_i,lat,lng,tile_id,alt,row,col
0,ISL001,1,875.0,1279,1280,14.0052300000,100.5194030000,13220313233310,6.0,832,863
1,ISL002,9,175.0,1281,1282,13.7065000000,100.2812000000,13220331012031,9.0,849,850
2,ISL003,11,875.0,1283,1284,13.6538000000,100.5223000000,13220331013310,5.0,852,864
3,ISL004,12,375.0,1285,1286,13.6354250000,100.6321810000,13220331102213,10.0,853,870
4,ISL005,13,875.0,1287,1288,13.6928000000,100.8972000000,13220331103131,3.0,849,884
5,ISL006,14,325.0,1289,1290,13.8086300000,100.4390000000,13220331011213,7.0,843,859
6,ISL007,15,525.0,1291,1292,15.6353000000,100.4763000000,13220311213322,35.0,738,861
7,ISL008,16,875.0,1293,1294,14.3066000000,100.6116000000,13220313302230,5.0,815,869
8,ISL009,17,700.0,1295,1296,18.1284000000,100.1440000000,13220131223101,158.0,594,843
9,ISL010,18,324.0,1297,1298,13.8080602000,100.4472970000,13220331011213,3.0,843,859
10,ISL011,19,875.0,1299,1300,13.6538000000,100.5223000000,13220331013310,5.0,852,864
11,ISL012,20,875.0,1301,1302,15.8226000000,104.1220000000,13221210200230,135.0,728,1064
12,ISL013,21,375.0,1303,1304,14.4933000000,105.0176000000,13221212301213,179.0,804,1114
13,ISL014,22,500.0,1305,1306,9.0381840000,99.1758880000,13222112300021,9.0,1112,789
14,ISL015,23,900.0,1307,1308,18.2755000000,99.4812000000,13220130321113,242.0,586,806
15,ISL016,24,900.0,1309,1310,13.5506000000,99.8231000000,13220330131113,12.0,858,825
16,ISL017,25,684.0,1311,1312,14.9698000000,103.0818000000,13221203012231,170.0,777,1006
17,ISL018,26,648.0,1313,1314,16.7660000000,103.6491000000,13221023323103,165.0,673,1038
18,ISL019,27,900.0,1315,1316,17.0110000000,99.7776000000,13220132313320,53.0,659,822
19,ISL020,28,756.0,1317,1318,18.5910000000,99.0412000000,13220130211031,292.0,567,781
20,ISL021,534,576.0,1323,1324,17.4028000000,103.1561000000,13221023032132,199.0,636,1010
21,ISL022,535,500.0,1329,1330,16.0480700000,102.7134000000,13221201022032,171.0,715,986
22,ISL023,536,720.0,1335,1336,13.3157300000,100.9603000000,13220331132210,9.0,871,888
23,ISL024,537,850.0,1341,1342,12.5981700000,102.0993000000,13221220322312,9.0,912,951
24,ISL025,538,900.0,1347,1348,15.7785000000,102.0255000000,13221200302011,183.0,730,947
25,ISL026,539,504.0,1353,1354,15.1926600000,101.7622000000,13221202010311,211.0,764,933
26,ISL027,540,900.0,1359,1360,18.7449600000,98.9620800000,13220130032133,311.0,558,777
27,ISL028,541,540.0,1365,1366,18.6677600000,98.9145600000,13220130032321,304.0,563,774
28,ISL029,542,850.0,1371,1372,8.1083700000,98.9292700000,13222130012312,15.0,1164,775
29,ISL030,543,792.0,1377,1378,14.9486000000,102.0542000000,13221202102322,202.0,778,949
30,ISL031,544,468.0,1383,1384,17.8561200000,103.7647000000,13221023110212,157.0,610,1044
31,ISL032,545,840.0,1389,1390,14.7946000000,100.6720000000,13220313120323,25.0,787,872
32,ISL033,546,900.0,1395,1396,13.9346000000,100.7142000000,13220313322333,2.0,836,874
33,ISL034,547,660.0,1401,1402,8.4573870000,99.9639300000,13222113222303,6.0,1145,832
34,ISL035,548,900.0,1407,1408,13.8126000000,100.0720000000,13220331001212,14.0,843,839
35,ISL036,549,900.0,1413,1414,14.1226000000,100.6169000000,13220313320231,6.0,825,869
36,ISL037,550,792.0,1419,1420,13.0790000000,99.9482000000,13220331200322,17.0,884,832
37,ISL038,551,850.0,1425,1426,16.3927600000,101.1323000000,13220311113032,120.0,695,898
38,ISL039,552,468.0,1431,1432,17.3930300000,103.7023000000,13221023123133,166.0,637,1041
39,ISL040,553,900.0,1437,1438,12.9156000000,100.8940000000,13220331303333,20.0,894,884
40,ISL041,554,540.0,1443,1444,15.5971000000,103.8083000000,13221201330102,134.0,741,1046
41,ISL042,555,828.0,1449,1450,14.0258000000,100.7433000000,13220313323022,8.0,831,876
